onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.18	4.012	Img9302_Image	Image	1	2	6
27.219	4.012	Img9302_RatingScreens	Rating	1	2	6
46.863	4.012	Img5833_Image	Image	2	8	2
56.902	4.012	Img5833_RatingScreens	Rating	2	8	2
76.93	4.011	Img1750_Image	Image	3	8	6
86.968	4.011	Img1750_RatingScreens	Rating	3	8	6
101.751	4.012	Img9560_Image	Image	4	4	7
111.789	4.012	Img9560_RatingScreens	Rating	4	4	7
127.622	4.011	Img3110_Image	Image	5	4	6
137.66	4.011	Img3110_RatingScreens	Rating	5	4	6
153.159	4.012	Img1710_Image	Image	6	7	3
163.198	4.012	Img1710_RatingScreens	Rating	6	7	3
178.064	4.012	Img5621_Image	Image	7	7	6
188.102	4.012	Img5621_RatingScreens	Rating	7	7	6
203.785	4.012	Img9220_Image	Image	8	5	8
213.823	4.012	Img9220_RatingScreens	Rating	8	5	8
229.339	4.012	Img9183_Image	Image	9	1	8
239.377	4.012	Img9183_RatingScreens	Rating	9	1	8
253.911	4.012	Img4007_Image	Image	10	9	6
263.949	4.012	Img4007_RatingScreens	Rating	10	9	6
293.999	4.012	Img1947_Image	Image	11	4	3
304.037	4.012	Img1947_RatingScreens	Rating	11	4	3
319.686	4.012	Img3001_Image	Image	12	2	7
329.725	4.012	Img3001_RatingScreens	Rating	12	2	7
345.274	4.012	Img4505_Image	Image	13	4	6
355.312	4.012	Img4505_RatingScreens	Rating	13	4	6
375.007	4.012	Img9561_Image	Image	14	2	7
385.045	4.012	Img9561_RatingScreens	Rating	14	2	7
402.042	4.012	Img4612_Image	Image	15	9	8
412.081	4.012	Img4612_RatingScreens	Rating	15	9	8
427.746	4.012	Img9940_Image	Image	16	5	9
437.785	4.012	Img9940_RatingScreens	Rating	16	5	9
453.933	4.012	Img9185_Image	Image	17	2	7
463.972	4.012	Img9185_RatingScreens	Rating	17	2	7
480.853	4.012	Img7043_Image	Image	18	6	1
490.891	4.012	Img7043_RatingScreens	Rating	18	6	1
505.491	4.012	Img1460_Image	Image	19	6	4
515.53	4.012	Img1460_RatingScreens	Rating	19	6	4
532.544	4.012	Img4085_Image	Image	20	9	8
542.582	4.012	Img4085_RatingScreens	Rating	20	9	8
575.728	4.012	Img3064_Image	Image	21	2	8
585.767	4.012	Img3064_RatingScreens	Rating	21	2	8
603.463	4.012	Img6220_Image	Image	22	4	8
613.502	4.012	Img6220_RatingScreens	Rating	22	4	8
627.752	4.012	Img2035_Image	Image	23	5	2
637.791	4.012	Img2035_RatingScreens	Rating	23	5	2
651.841	4.012	Img5829_Image	Image	24	8	3
661.88	4.012	Img5829_RatingScreens	Rating	24	8	3
678.794	4.012	Img7054_Image	Image	25	5	1
688.833	4.012	Img7054_RatingScreens	Rating	25	5	1
702.867	4.012	Img2730_Image	Image	26	3	8
712.905	4.012	Img2730_RatingScreens	Rating	26	3	8
728.055	4.012	Img3195_Image	Image	27	3	8
738.093	4.012	Img3195_RatingScreens	Rating	27	3	8
753.492	4.012	Img8190_Image	Image	28	7	2
763.531	4.012	Img8190_RatingScreens	Rating	28	7	2
780.395	4.012	Img5725_Image	Image	29	9	3
790.434	4.012	Img5725_RatingScreens	Rating	29	9	3
806.865	4.012	Img5825_Image	Image	30	8	5
816.903	4.012	Img5825_RatingScreens	Rating	30	8	5
850.116	4.012	Img9075_Image	Image	31	4	7
860.154	4.012	Img9075_RatingScreens	Rating	31	4	7
876.419	4.012	Img9043_Image	Image	32	3	7
886.458	4.012	Img9043_RatingScreens	Rating	32	3	7
901.424	4.012	Img7279_Image	Image	33	8	2
911.462	4.012	Img7279_RatingScreens	Rating	33	8	2
930.974	4.012	Img2392_Image	Image	34	4	2
941.012	4.012	Img2392_RatingScreens	Rating	34	4	2
957.677	4.012	Img1630_Image	Image	35	7	3
967.715	4.012	Img1630_RatingScreens	Rating	35	7	3
983.98	4.012	Img4002_Image	Image	36	9	8
994.018	4.012	Img4002_RatingScreens	Rating	36	9	8
1009.351	4.012	Img3530_Image	Image	37	4	9
1019.39	4.012	Img3530_RatingScreens	Rating	37	4	9
1033.474	4.012	Img2525_Image	Image	38	3	7
1043.512	4.012	Img2525_RatingScreens	Rating	38	3	7
1061.242	4.012	Img3185_Image	Image	39	3	7
1071.281	4.012	Img3185_RatingScreens	Rating	39	3	7
1086.38	4.012	Img2340_Image	Image	40	9	7
1096.419	4.012	Img2340_RatingScreens	Rating	40	9	7
